order_id,customer_id,customer_name,email,age,city,state,product_category,product_name,quantity,unit_price,discount_pct,order_date,payment_method,order_status,total_amount,rejection_reason
746,1435,Sophia Smith,sophia.smith1435@example.com,57,Denver,CO,Electronics,Smartphone,2,1108.97,20,,Bank Transfer,Completed,1774.35,INVALID_ORDER_DATE
21809,3167,Evelyn Johnson,evelyn.johnson3167@example.com,46,Atlanta,GA,Sports,Yoga Mat,5,292.86,15,2024-11-16,Bank Transfer,unknown,1244.66,INVALID_ORDER_STATUS
44530,9097,Sophia Wilson,sophia.wilson9097@example.com,79,San Diego,CA,Clothing,T-Shirt,3,1178.79,0,,Bank Transfer,Completed,3536.37,INVALID_ORDER_DATE
32372,2309,Olivia Williams,olivia.williams2309@example.com,71,Dallas,TX,Books,Python Basics,5,289.97,20,,Bank Transfer,Shipped,1159.88,INVALID_ORDER_DATE
62595,1785,Harper Williams,harper.williams1785@example.com,65,Houston,TX,Home,Air Purifier,4,579.7,0,,PayPal,Completed,2318.8,INVALID_ORDER_DATE
74154,16989,Ava Thompson,ava.thompson16989@example.com,41,Dallas,TX,Sports,Tennis Racket,2,271.39,20,2025-07-27,PayPal,unknown,434.22,INVALID_ORDER_STATUS
23799,3790,Sarah Brown,sarah.brown3790@example.com,22,Denver,CO,Clothing,Jacket,3,93.27,0,,PayPal,Completed,279.81,INVALID_ORDER_DATE
16759,10293,David Martinez,david.martinez10293@example.com,68,Miami,FL,Home,Vacuum,5,851.32,0,,PayPal,Cancelled,4256.6,INVALID_ORDER_DATE
33189,8952,William Anderson,william.anderson8952@example.com,42,Dallas,TX,Sports,Yoga Mat,1,1151.02,5,,Bank Transfer,Returned,1093.47,INVALID_ORDER_DATE
10559,4453,Harper Rodriguez,harper.rodriguez4453@example.com,80,Boston,MA,Sports,Yoga Mat,3,1026.17,0,2024-01-07,Bank Transfer,unknown,3078.51,INVALID_ORDER_STATUS
13038,3718,Mia Davis,mia.davis3718@example.com,75,Philadelphia,PA,Clothing,Jacket,3,1362.31,15,2024-05-14,Debit Card,unknown,3473.89,INVALID_ORDER_STATUS
51436,11511,Daniel Martinez,daniel.martinez11511@example.com,40,San Diego,CA,Electronics,Smartphone,4,1393.78,0,,Debit Card,Shipped,5575.12,INVALID_ORDER_DATE
19256,2197,Thomas Martin,thomas.martin2197@example.com,34,San Antonio,TX,Home,Coffee Maker,2,852.31,0,,Apple Pay,Returned,1704.62,INVALID_ORDER_DATE
95042,17615,Isabella Wilson,isabella.wilson17615@example.com,57,Atlanta,GA,Clothing,T-Shirt,5,35.18,10,,Debit Card,Processing,158.31,INVALID_ORDER_DATE
38040,1153,Joseph Martinez,joseph.martinez1153@example.com,69,Houston,TX,Electronics,Monitor,3,623.16,0,,Apple Pay,Returned,1869.48,INVALID_ORDER_DATE
73396,15997,John Perez,john.perez15997@example.com,52,San Diego,CA,Books,Data Engineering 101,2,1279.41,15,,Credit Card,Completed,2175.0,INVALID_ORDER_DATE
58138,12811,Sophia Jones,sophia.jones12811@example.com,36,San Diego,CA,Electronics,Smartphone,2,1028.25,0,,Bank Transfer,Processing,2056.5,INVALID_ORDER_DATE
81061,15877,Emma Anderson,emma.anderson15877@example.com,19,Atlanta,GA,Sports,Tennis Racket,1,1174.56,5,,Apple Pay,Cancelled,1115.83,INVALID_ORDER_DATE
42149,12524,Thomas Miller,thomas.miller12524@example.com,19,Atlanta,GA,Books,Python Basics,5,1378.96,15,,PayPal,Completed,5860.58,INVALID_ORDER_DATE
95737,7535,Robert Williams,robert.williams7535@example.com,31,Miami,FL,Books,Python Basics,4,768.58,5,,Credit Card,Completed,2920.6,INVALID_ORDER_DATE
91216,2350,Olivia Brown,olivia.brown2350@example.com,60,Miami,FL,Electronics,Monitor,5,731.95,15,2026-05-09,Debit Card,unknown,3110.79,INVALID_ORDER_STATUS
82395,5558,Evelyn Anderson,evelyn.anderson5558@example.com,76,New York,NY,Books,Data Engineering 101,3,415.94,20,2025-03-22,PayPal,unknown,998.26,INVALID_ORDER_STATUS
